Gene,p_value,effect_size
ACOT9,0.39235882687167367,0.32303277496954547
ACOX1,0.650718870178489,0.170144908498514
ACOX3,0.5522281457057828,0.22369223993266696
ACOXL,0.2445317446064423,0.4420962886620833
ACOXL-AS1,0.5808852862581004,0.2076667796901801
ACP1,0.40349504876624487,0.3153971808204171
ACP2,0.0360507572597032,0.8199062074236
ACP5,0.8459100342636166,0.07291637558759474
ACP6,0.36574921523250326,0.3418614641335668
ACP7,0.9318552824274612,0.03207455818671998
ACR,0.2280791165380141,0.45832324069352204
ACRBP,0.1125184765063125,0.6095986335095543
ACRP1,0.8057201090739398,0.09230079944468375
ACSBG1,0.029806874236776845,0.8524249134672637
ACSF2,0.4894639470362644,0.2604011659514064
ACSF3,0.15064340208115798,0.549711888982297
ACSL1,0.8581296524375173,0.0670655821390149
ACSL3,0.889529623236499,0.052106142567211175
ACSL3P1,0.2879980639142166,0.4027860967441716
ACSL5,0.5137924044391321,0.24588318934002082
ACSL6,0.5511301640871448,0.22431460147258286
ACSM1,0.2260512836510475,0.46038340121519994
ACSM4,0.2546389918115028,0.4325261847087124
ACSM5,0.1821557777120649,0.5088874628310195
ACSS1,0.13338266614866356,0.575073102129658
ACSS2,0.9195059114995299,0.03790652721320859
ACSS3,0.13765689507179205,0.568555149417043
ACTB,0.7134878500335569,0.13789056558159465
ACTBP12,0.4532109836403819,0.28282278920794063
ACTBP14,0.15974790674532668,0.5372682226845573
ACTBP9,0.4894634343462695,0.26040147612572384
ACTE1P,0.038646253919645907,0.8078669183903303
ACTG1,0.9535637464544604,0.021841679508541538
ACTG1P23,0.2991763750926812,0.3933755581740253
ACTG1P25,0.914006516198012,0.040506636259801526
ACTL10,0.29393664990087764,0.397755065151955
ACTL11P,0.648212275162054,0.17145904745607207
ACTL6A,0.07205582344868548,0.6957110009117433
ACTL6B,0.2862407598158987,0.40428898260975515
ACTL7A,0.511152486589237,0.24743977609709225
ACTL7B,0.7105791609386269,0.13935990956018288
ACTL8,0.1373851200480284,0.5689646415880926
ACTL9,0.22649074725319887,0.45993575368145273
ACTMAP,0.16114450853362083,0.5354099526947895
ACTN1,0.8470215774365303,0.07238341306958955
ACTN1-DT,0.7758778744724,0.1068613042875262
ACTN2,0.8818107787552298,0.05577445577524621
ACTN4,0.8924263410691967,0.05073087930989077
ACTN4P1,0.1206705501503669,0.5955256903124475
ACTR1A,0.07467249664258116,0.6890230939754988
ACTR1B,0.5439776719091274,0.22838471267463842
ACTR2,0.5405582254470676,0.23034045618642313
ACTR3-AS1,0.4641945843706955,0.27592235623220096
ACTR3B,0.10628789070869164,0.620938543489807
